Segment Name,Initial Load,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
TAG-TRO,13.0,0.37,5.01,5.41,5.38,5.61,5.39,5.69,5.57,5.51,5.61,5.06,4.1,3.071,4.348,4.794,4.848,5.101,4.86,4.784,4.633,4.629,4.639,4.31,3.643
TAG-TRO-LD,3.9,0.111,1.503,1.623,1.614,1.683,1.617,1.707,1.671,1.653,1.683,1.518,1.23,0.581,0.818,0.911,0.917,0.97,0.922,0.901,0.864,0.869,0.858,0.8,0.675
TAG-TRO-LP,9.1,0.259,3.507,3.787,3.766,3.927,3.773,3.983,3.899,3.857,3.927,3.542,2.87,2.491,3.53,3.883,3.931,4.13,3.938,3.883,3.769,3.76,3.781,3.509,2.968
TCS-TAG,13.0,0.37,5.01,5.41,5.38,5.61,5.39,5.69,5.57,5.51,5.61,5.06,4.1,3.26,4.537,5.044,5.105,5.374,5.127,5.061,4.856,4.861,4.86,4.527,3.824
TCS-TAG-LD,3.9,0.111,1.503,1.623,1.614,1.683,1.617,1.707,1.671,1.653,1.683,1.518,1.23,0.619,0.856,0.961,0.969,1.026,0.976,0.957,0.909,0.915,0.902,0.844,0.712
TCS-TAG-LP,9.1,0.259,3.507,3.787,3.766,3.927,3.773,3.983,3.899,3.857,3.927,3.542,2.87,2.641,3.681,4.082,4.136,4.348,4.151,4.104,3.947,3.946,3.957,3.683,3.112
TMI-TCS,13.0,0.37,5.01,5.41,5.38,5.61,5.39,5.69,5.57,5.51,5.61,5.06,4.1,3.89,5.228,5.747,5.752,6.138,5.92,5.855,5.672,5.668,5.644,5.221,4.468
TMI-TCS-LD,3.9,0.111,1.503,1.623,1.614,1.683,1.617,1.707,1.671,1.653,1.683,1.518,1.23,0.744,0.993,1.101,1.098,1.178,1.133,1.114,1.07,1.075,1.057,0.98,0.841
TMI-TCS-LP,9.1,0.259,3.507,3.787,3.766,3.927,3.773,3.983,3.899,3.857,3.927,3.542,2.87,3.146,4.235,4.646,4.654,4.96,4.787,4.741,4.602,4.592,4.587,4.241,3.628
ZEB-TMI,8.0,0.99,8.04,8.57,8.29,8.99,8.84,9.07,9.07,8.87,8.95,8.07,6.66,6.359,8.174,8.786,8.544,9.432,9.297,9.174,9.126,8.972,8.916,8.146,6.982
ZEB-TMI-LD,2.4,0.297,2.412,2.571,2.487,2.697,2.652,2.721,2.721,2.661,2.685,2.421,1.998,1.205,1.543,1.672,1.633,1.807,1.776,1.738,1.718,1.694,1.672,1.53,1.315
ZEB-TMI-LP,5.6,0.693,5.628,5.999,5.803,6.293,6.188,6.349,6.349,6.209,6.265,5.649,4.662,5.154,6.631,7.114,6.911,7.625,7.52,7.436,7.408,7.278,7.244,6.617,5.667
ZCZ-ZEB,8.0,0.99,8.04,8.57,8.29,8.99,8.84,9.07,9.07,8.87,8.95,8.07,6.66,6.359,8.174,8.786,8.544,9.432,9.297,9.174,9.126,8.972,8.916,8.146,6.982
ZCZ-ZEB-LD,2.4,0.297,2.412,2.571,2.487,2.697,2.652,2.721,2.721,2.661,2.685,2.421,1.998,1.205,1.543,1.672,1.633,1.807,1.776,1.738,1.718,1.694,1.672,1.53,1.315
ZCZ-ZEB-LP,5.6,0.693,5.628,5.999,5.803,6.293,6.188,6.349,6.349,6.209,6.265,5.649,4.662,5.154,6.631,7.114,6.911,7.625,7.52,7.436,7.408,7.278,7.244,6.617,5.667
ZTO-ZCZ,8.0,0.99,8.04,8.57,8.29,8.99,8.84,9.07,9.07,8.87,8.95,8.07,6.66,6.359,8.174,8.786,8.544,9.432,9.297,9.174,9.126,8.972,8.916,8.146,6.982
ZTO-ZCZ-LD,2.4,0.297,2.412,2.571,2.487,2.697,2.652,2.721,2.721,2.661,2.685,2.421,1.998,1.205,1.543,1.672,1.633,1.807,1.776,1.738,1.718,1.694,1.672,1.53,1.315
ZTO-ZCZ-LP,5.6,0.693,5.628,5.999,5.803,6.293,6.188,6.349,6.349,6.209,6.265,5.649,4.662,5.154,6.631,7.114,6.911,7.625,7.52,7.436,7.408,7.278,7.244,6.617,5.667
ZTI-ZTO,5.5,1.16,8.2,8.71,8.38,9.17,9.07,9.28,9.31,9.09,9.16,8.23,6.79,6.487,8.301,8.894,8.611,9.571,9.473,9.339,9.315,9.144,9.079,8.275,7.079
ZTI-ZTO-LD,1.65,0.348,2.46,2.613,2.514,2.751,2.721,2.784,2.793,2.727,2.748,2.469,2.037,1.23,1.569,1.694,1.646,1.835,1.812,1.771,1.756,1.729,1.705,1.556,1.334
ZTI-ZTO-LP,3.85,0.812,5.74,6.097,5.866,6.419,6.349,6.496,6.517,6.363,6.412,5.761,4.753,5.256,6.732,7.2,6.965,7.735,7.661,7.568,7.559,7.416,7.375,6.719,5.745
ZIQ-ZTI,5.5,1.16,8.2,8.71,8.38,9.17,9.07,9.28,9.31,9.09,9.16,8.23,6.79,6.487,8.301,8.894,8.611,9.571,9.473,9.339,9.315,9.144,9.079,8.275,7.079
ZIQ-ZTI-LD,1.65,0.348,2.46,2.613,2.514,2.751,2.721,2.784,2.793,2.727,2.748,2.469,2.037,1.23,1.569,1.694,1.646,1.835,1.812,1.771,1.756,1.729,1.705,1.556,1.334
ZIQ-ZTI-LP,3.85,0.812,5.74,6.097,5.866,6.419,6.349,6.496,6.517,6.363,6.412,5.761,4.753,5.256,6.732,7.2,6.965,7.735,7.661,7.568,7.559,7.416,7.375,6.719,5.745
ZQX-ZIQ,5.5,1.16,8.2,8.71,8.38,9.17,9.07,9.28,9.31,9.09,9.16,8.23,6.79,6.487,8.301,8.894,8.611,9.571,9.473,9.339,9.315,9.144,9.079,8.275,7.079
ZQX-ZIQ-LD,1.65,0.348,2.46,2.613,2.514,2.751,2.721,2.784,2.793,2.727,2.748,2.469,2.037,1.23,1.569,1.694,1.646,1.835,1.812,1.771,1.756,1.729,1.705,1.556,1.334
ZQX-ZIQ-LP,3.85,0.812,5.74,6.097,5.866,6.419,6.349,6.496,6.517,6.363,6.412,5.761,4.753,5.256,6.732,7.2,6.965,7.735,7.661,7.568,7.559,7.416,7.375,6.719,5.745
ZQX-ZRX,5.5,1.16,8.2,8.71,8.38,9.17,9.07,9.28,9.31,9.09,9.16,8.23,6.79,6.487,8.301,8.894,8.611,9.571,9.473,9.339,9.315,9.144,9.079,8.275,7.079
ZRX-ZRC,5.5,1.16,8.2,8.71,8.38,9.17,9.07,9.28,9.31,9.09,9.16,8.23,6.79,7.446,9.278,9.855,9.586,10.695,10.613,10.49,10.451,10.242,10.221,9.34,8.13
ZRX-ZRC-V,1.65,0.348,2.46,2.613,2.514,2.751,2.721,2.784,2.793,2.727,2.748,2.469,2.037,1.438,1.78,1.903,1.858,2.078,2.057,2.019,2.0,1.965,1.951,1.786,1.561
ZRX-ZRC-C,3.85,0.812,5.74,6.097,5.866,6.419,6.349,6.496,6.517,6.363,6.412,5.761,4.753,6.008,7.498,7.952,7.728,8.617,8.556,8.471,8.451,8.277,8.27,7.555,6.568
ZRC-ZBL,5.5,1.16,8.2,8.71,8.38,9.17,9.07,9.28,9.31,9.09,9.16,8.23,6.79,7.446,9.278,9.855,9.586,10.695,10.613,10.49,10.451,10.242,10.221,9.34,8.13
ZRC-ZBL-LP,3.85,0.812,5.74,6.097,5.866,6.419,6.349,6.496,6.517,6.363,6.412,5.761,4.753,6.008,7.498,7.952,7.728,8.617,8.556,8.471,8.451,8.277,8.27,7.555,6.568
ZRC-ZBL-LD,1.65,0.348,2.46,2.613,2.514,2.751,2.721,2.784,2.793,2.727,2.748,2.469,2.037,1.438,1.78,1.903,1.858,2.078,2.057,2.019,2.0,1.965,1.951,1.786,1.561
ZKE-ZBL-V,41.25,1.158,3.885,4.173,4.14,4.419,4.383,4.458,4.317,4.194,4.335,3.945,3.372,1.548,1.977,2.142,2.125,2.293,2.272,2.228,2.175,2.124,2.153,1.982,1.75
ZKE-ZBL-C,96.25,2.702,9.065,9.737,9.66,10.311,10.227,10.402,10.073,9.786,10.115,9.205,7.868,6.671,8.483,9.137,9.017,9.727,9.653,9.567,9.391,9.189,9.298,8.573,7.552
ZEV-ZKE-V,41.25,1.158,3.885,4.173,4.14,4.419,4.383,4.458,4.317,4.194,4.335,3.945,3.372,1.548,1.977,2.142,2.125,2.293,2.272,2.228,2.175,2.124,2.153,1.982,1.75
ZEV-ZKE-C,96.25,2.702,9.065,9.737,9.66,10.311,10.227,10.402,10.073,9.786,10.115,9.205,7.868,6.671,8.483,9.137,9.017,9.727,9.653,9.567,9.391,9.189,9.298,8.573,7.552
ZPT-ZEV-V,41.25,1.158,3.885,4.173,4.14,4.419,4.383,4.458,4.317,4.194,4.335,3.945,3.372,1.548,1.977,2.142,2.125,2.293,2.272,2.228,2.175,2.124,2.153,1.982,1.75
ZPT-ZEV-C,96.25,2.702,9.065,9.737,9.66,10.311,10.227,10.402,10.073,9.786,10.115,9.205,7.868,6.671,8.483,9.137,9.017,9.727,9.653,9.567,9.391,9.189,9.298,8.573,7.552
ZPG-ZPT-V,41.25,1.122,3.807,4.092,4.059,4.335,4.302,4.377,4.23,4.11,4.254,3.867,3.285,1.531,1.96,2.125,2.108,2.276,2.255,2.211,2.157,2.107,2.135,1.965,1.732
ZPG-ZPT-C,96.25,2.618,8.883,9.548,9.471,10.115,10.038,10.213,9.87,9.59,9.926,9.023,7.665,6.467,8.29,8.934,8.817,9.524,9.452,9.362,9.187,8.987,9.094,8.371,7.348
TRO-RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634,1.342,1.415,1.422,1.51,1.415,1.339,1.356,1.347,1.356,1.232,0.896
TRO-RDA-LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,1.09,1.15,1.155,1.227,1.15,1.094,1.109,1.102,1.109,1.007,0.733
TRO-RDA-LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.252,0.265,0.267,0.283,0.265,0.245,0.247,0.245,0.247,0.224,0.163
PIT-ZRL,25.0,0.15,1.85,1.97,1.89,2.08,2.05,1.99,2.02,1.97,1.96,1.76,1.41,1.136,1.686,1.791,1.732,1.921,1.877,1.84,1.874,1.818,1.798,1.618,1.307
PIT-ZRL-LP,17.5,0.105,1.295,1.379,1.323,1.456,1.435,1.393,1.414,1.379,1.372,1.232,0.987,0.95,1.394,1.478,1.419,1.573,1.538,1.518,1.547,1.502,1.484,1.338,1.083
PIT-ZRL-LD,7.5,0.045,0.555,0.591,0.567,0.624,0.615,0.597,0.606,0.591,0.588,0.528,0.423,0.187,0.291,0.313,0.313,0.348,0.339,0.322,0.327,0.316,0.314,0.281,0.224
PSS-PIT,25.0,0.15,1.85,1.97,1.89,2.08,2.05,1.99,2.02,1.97,1.96,1.76,1.41,1.136,1.686,1.791,1.732,1.921,1.877,1.84,1.874,1.818,1.798,1.618,1.307
PSS-PIT-LP,17.5,0.105,1.295,1.379,1.323,1.456,1.435,1.393,1.414,1.379,1.372,1.232,0.987,0.95,1.394,1.478,1.419,1.573,1.538,1.518,1.547,1.502,1.484,1.338,1.083
PSS-PIT-LD,7.5,0.045,0.555,0.591,0.567,0.624,0.615,0.597,0.606,0.591,0.588,0.528,0.423,0.187,0.291,0.313,0.313,0.348,0.339,0.322,0.327,0.316,0.314,0.281,0.224
PSG-PSS,25.0,0.15,1.85,1.97,1.89,2.08,2.05,1.99,2.02,1.97,1.96,1.76,1.41,0.929,1.481,1.618,1.623,1.697,1.592,1.574,1.568,1.539,1.535,1.411,1.15
PSG-PSS-LP,17.5,0.105,1.295,1.379,1.323,1.456,1.435,1.393,1.414,1.379,1.372,1.232,0.987,0.78,1.227,1.337,1.33,1.39,1.306,1.3,1.297,1.274,1.269,1.168,0.955
PSG-PSS-LD,7.5,0.045,0.555,0.591,0.567,0.624,0.615,0.597,0.606,0.591,0.588,0.528,0.423,0.149,0.254,0.281,0.293,0.307,0.287,0.273,0.271,0.265,0.266,0.243,0.195
ZIQ-ZTP,0.0,0.53,0.48,0.44,0.46,0.55,0.54,0.56,0.56,0.55,0.56,0.54,0.55,0.535,0.479,0.441,0.463,0.555,0.544,0.558,0.558,0.545,0.558,0.539,0.553
ZIQ-ZTP-LP,0.0,0.371,0.336,0.308,0.322,0.385,0.378,0.392,0.392,0.385,0.392,0.378,0.385,0.415,0.372,0.34,0.358,0.431,0.423,0.434,0.434,0.424,0.434,0.419,0.43
ZIQ-ZTP-LD,0.0,0.159,0.144,0.132,0.138,0.165,0.162,0.168,0.168,0.165,0.168,0.162,0.165,0.12,0.107,0.101,0.105,0.124,0.121,0.124,0.124,0.121,0.124,0.12,0.123
